1	25.381295	-0.771781	2	1.5	  001
3	22.715372	-0.733246	2	1.5	  003
5	19.911143	-0.608748	2	1.5	  005
7	24.481102	4.347077	2	1.5	  007
9	21.9673		3.613717	2	1.5	  009
11	19.345958	3.110359	2	1.5	  011
13	16.706588	2.875744	2	1.5	  013
15	14.09047	2.753697	2	1.5	  015
17	19.559995	7.243332	2	1.5	  017
19	16.942979	6.237191	2	1.5	  019
21	14.204774	5.792745	2	1.5	  021
23	11.5		5.70429		2	1.5	  023
25	16.662514	9.87843		2	1.5	  025
27	13.466339	11.859999	2	1.5	  027
29	13.450371	8.807222	2	1.5	  029
31	9.533661	11.859999	2	1.5	  031
33	9.54963		8.807222	2	1.5	  033
35	6.3374865	9.87843		2	1.5	  035
37	3.440005	7.243332	2	1.5	  037
39	6.057021	6.237192	2	1.5	  039
41	8.795226	5.792745	2	1.5	  041
43	-1.481102	4.347078	2	1.5	  043
45	1.0327		3.613581	2	1.5	  045
47	3.654042	3.11036		2	1.5	  047
49	6.293412	2.875744	2	1.5	  049
51	8.90953		2.753697	2	1.5	  051
53	11.5		2.731327	2	1.5	  053
55	-2.381295	-0.771781	2	1.5	  055
57	0.284628	-0.733246	2	1.5	  057
59	3.088857	-0.608748	2	1.5	  059
61	5.895393	-0.521429	2	1.5	  061
63	8.696664	-0.481488	2	1.5	  063
65	11.5		-0.46314	2	1.5	  065
67	-1.590015	-6.177621	2	1.5	  067
69	0.893853	-5.313065	2	1.5	  069
71	3.788197	-4.494587	2	1.5	  071
73	6.749538	-3.95458	2	1.5	  073
75	1.096738	-10.894836	2	1.5	  075
77	3.402274	-9.346367	2	1.5	  077
79	6.182132	-8.131419	2	1.5	  079
81	6.102499	-15.409053	2	1.5	  081
83	6.914234	-12.406122	2	1.5	  083
85	9.307503	-10.644013	2	1.5	  085
87	9.660984	-7.199067	2	1.5	  087
89	9.807536	-3.822648	2	1.5	  089
91	11.5		-16.259918	2	1.5	  091
93	11.5		-13.097164	2	1.5	  093
95	13.692497	-10.644013	2	1.5	  095
97	13.339016	-7.199067	2	1.5	  097
99	13.192464	-3.822648	2	1.5	  099
101	16.897501	-15.409053	2	1.5	  101
103	16.085766	-12.406122	2	1.5	  103
105	21.903262	-10.894836	2	1.5	  105
107	19.597726	-9.346367	2	1.5	  107
109	16.817868	-8.131419	2	1.5	  109
111	24.590015	-6.177621	2	1.5	  111
113	22.106147	-5.313065	2	1.5	  113
115	19.211802	-4.494588	2	1.5	  115
117	16.250462	-3.95458	2	1.5	  117
119	17.104607	-0.521429	2	1.5	  119
121	14.303336	-0.481488	2	1.5	  121
