   -0.004    0.571   -0.276    0.070   -0.072    0.090    0.004   -0.118   -0.590   -0.514   -0.050   -0.422   -1.202   -0.277    0.371   -0.846    0.226   -0.454    0.713   -0.104    0.156    0.265    0.085    0.411    1.617    1.505    0.616   -0.321   -0.396    0.418   -0.105
   -0.062    0.658   -0.345    0.035    0.077    0.122    0.135   -0.043   -0.725   -0.412    0.223   -0.475   -1.128   -0.137    0.626   -0.683    0.235   -0.425    0.727   -0.373    0.029    0.034    0.114    0.752    1.675    1.130    0.158   -0.486   -0.367    0.429   -0.299
   -0.098    0.781   -0.379    0.003    0.234    0.123    0.326    0.031   -0.785   -0.235    0.525   -0.536   -0.878    0.087    0.904   -0.403    0.170   -0.348    0.691   -0.659   -0.199   -0.319    0.174    1.082    1.591    0.561   -0.392   -0.653   -0.306    0.389   -0.521
   -0.105    0.904   -0.365   -0.035    0.395    0.116    0.560    0.100   -0.779   -0.003    0.834   -0.596   -0.461    0.379    1.179   -0.001    0.001   -0.230    0.610   -0.915   -0.525   -0.791    0.246    1.373    1.352   -0.151   -0.978   -0.797   -0.214    0.288   -0.755
   -0.104    1.019   -0.297   -0.050    0.526    0.110    0.819    0.137   -0.690    0.267    1.132   -0.649    0.078    0.707    1.408    0.492   -0.231   -0.086    0.491   -1.094   -0.916   -1.342    0.332    1.597    0.997   -0.943   -1.542   -0.913   -0.097    0.138   -0.983
   -0.100    1.095   -0.177   -0.062    0.605    0.122    1.102    0.145   -0.549    0.530    1.390   -0.690    0.692    1.030    1.547    1.054   -0.505    0.062    0.354   -1.136   -1.334   -1.915    0.420    1.720    0.542   -1.706   -1.989   -0.975    0.040   -0.048   -1.182
   -0.081    1.104   -0.031   -0.085    0.613    0.149    1.366    0.104   -0.363    0.729    1.606   -0.686    1.305    1.284    1.558    1.663   -0.750    0.199    0.213   -0.984   -1.701   -2.453    0.482    1.735    0.020   -2.340   -2.246   -1.000    0.175   -0.238   -1.324
   -0.079    1.030    0.130   -0.111    0.527    0.202    1.595    0.035   -0.185    0.793    1.774   -0.622    1.805    1.407    1.385    2.273   -0.885    0.292    0.082   -0.595   -1.941   -2.847    0.503    1.640   -0.506   -2.732   -2.232   -0.966    0.296   -0.423   -1.396
   -0.084    0.879    0.283   -0.186    0.307    0.269    1.760   -0.039   -0.030    0.669    1.901   -0.429    2.093    1.360    0.972    2.865   -0.819    0.316   -0.012    0.077   -1.973   -3.042    0.461    1.425   -0.993   -2.771   -1.879   -0.882    0.385   -0.576   -1.382
   -0.111    0.641    0.400   -0.307   -0.060    0.334    1.824   -0.099    0.044    0.294    2.008   -0.097    2.078    1.057    0.315    3.399   -0.461    0.275   -0.062    1.051   -1.713   -2.926    0.354    1.103   -1.384   -2.387   -1.162   -0.743    0.440   -0.665   -1.270
