_ 0.02
A 5.52
B 1.56
C 2.94
D 4.91
E 19.18
F 1.96
G 3.60
H 5.02
I 8.21
J 0.16
K 1.33
L 3.48
M 1.69
N 10.20
O 2.14
P 0.54
Q 0.01
R 7.01
S 7.07
T 5.86
U 4.22
V 0.84
W 1.38
X 0.01
Y 0.01
Z 1.13
