,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass,train_loss,valid_loss,train_accuracy,valid_accuracy,train_misclass,valid_misclass
1,1.375445015,1.081278418,0.663194444,0.527777778,33.68055556,47.22222222,1.598107873,1.679952637,0.274305556,0.246527778,72.56944444,75.34722222,1.322997871,1.085205764,0.645833333,0.586805556,35.41666667,41.31944444,1.602026605,1.475394416,0.416666667,0.277777778,58.33333333,72.22222222,1.604981388,1.492696779,0.315972222,0.260416667,68.40277778,73.95833333,1.546996956,1.4529871,0.430555556,0.350694444,56.94444444,64.93055556,1.5314973,1.254886876,0.659722222,0.506944444,34.02777778,49.30555556,1.345982244,1.119690046,0.694444444,0.621527778,30.55555556,37.84722222,1.424825254,0.979806676,0.666666667,0.65625,33.33333333,34.375
2,1.055291115,1.004557552,0.659722222,0.538194444,34.02777778,46.18055556,1.478143429,1.580890083,0.375,0.253472222,62.5,74.65277778,1.10689905,0.896333515,0.71875,0.6875,28.125,31.25,1.436262066,1.590360076,0.420138889,0.302083333,57.98611111,69.79166667,1.498397523,1.443431721,0.385416667,0.284722222,61.45833333,71.52777778,1.383600813,1.375320193,0.545138889,0.427083333,45.48611111,57.29166667,1.26181575,1.176514259,0.555555556,0.572916667,44.44444444,42.70833333,1.071065379,1.188796288,0.618055556,0.510416667,38.19444444,48.95833333,1.161485955,0.911037279,0.722222222,0.725694444,27.77777778,27.43055556
3,0.975906885,0.969891145,0.743055556,0.638888889,25.69444444,36.11111111,1.351801684,1.389377204,0.614583333,0.381944444,38.54166667,61.80555556,0.915039869,0.790874951,0.791666667,0.743055556,20.83333333,25.69444444,1.316317986,1.480119049,0.565972222,0.336805556,43.40277778,66.31944444,1.43573029,1.417727804,0.461805556,0.302083333,53.81944444,69.79166667,1.288889399,1.354170997,0.649305556,0.430555556,35.06944444,56.94444444,1.072461294,1.853798246,0.736111111,0.284722222,26.38888889,71.52777778,0.904112224,1.001733058,0.795138889,0.677083333,20.48611111,32.29166667,1.001642154,0.904821432,0.711805556,0.701388889,28.81944444,29.86111111
4,0.894881711,0.818394411,0.715277778,0.614583333,28.47222222,38.54166667,1.244194388,1.804235381,0.548611111,0.284722222,45.13888889,71.52777778,0.819376144,0.760614995,0.809027778,0.770833333,19.09722222,22.91666667,1.256811738,1.444367374,0.625,0.388888889,37.5,61.11111111,1.371536437,1.864219098,0.451388889,0.277777778,54.86111111,72.22222222,1.195578403,1.613078318,0.5,0.315972222,50,68.40277778,0.88814587,3.319160117,0.697916667,0.260416667,30.20833333,73.95833333,0.877103446,0.883535171,0.871527778,0.715277778,12.84722222,28.47222222,0.914858501,0.987721106,0.774305556,0.628472222,22.56944444,37.15277778
5,0.841819631,0.86303224,0.826388889,0.642361111,17.36111111,35.76388889,1.170521471,1.678793564,0.590277778,0.333333333,40.97222222,66.66666667,0.731263739,0.858199468,0.850694444,0.684027778,14.93055556,31.59722222,1.165502104,1.286853632,0.715277778,0.493055556,28.47222222,50.69444444,1.327523559,1.50520806,0.673611111,0.333333333,32.63888889,66.66666667,1.155808369,1.371284195,0.65625,0.465277778,34.375,53.47222222,0.754665128,1.447698619,0.930555556,0.402777778,6.944444444,59.72222222,0.775388568,0.905818717,0.868055556,0.701388889,13.19444444,29.86111111,0.850067965,0.897144344,0.788194444,0.732638889,21.18055556,26.73611111
6,0.783485266,0.84932429,0.826388889,0.597222222,17.36111111,40.27777778,1.082183345,1.420619534,0.465277778,0.395833333,53.47222222,60.41666667,0.658961597,0.649579713,0.829861111,0.829861111,17.01388889,17.01388889,1.120001381,2.146508375,0.611111111,0.3125,38.88888889,68.75,1.215008014,1.674609724,0.53125,0.319444444,46.875,68.05555556,1.059986187,1.31512785,0.770833333,0.434027778,22.91666667,56.59722222,0.605791513,1.245921997,0.940972222,0.496527778,5.902777778,50.34722222,0.701265216,0.990981486,0.822916667,0.690972222,17.70833333,30.90277778,0.797411102,1.102748511,0.84375,0.559027778,15.625,44.09722222
7,0.717396275,0.885580013,0.871527778,0.635416667,12.84722222,36.45833333,1.06495303,1.498356022,0.774305556,0.392361111,22.56944444,60.76388889,0.668107189,0.909402635,0.875,0.708333333,12.5,29.16666667,1.069787006,1.305024654,0.739583333,0.472222222,26.04166667,52.77777778,1.227891958,1.79042068,0.375,0.28125,62.5,71.875,0.996803723,1.317099952,0.763888889,0.461805556,23.61111111,53.81944444,0.599875684,0.937022579,0.920138889,0.628472222,7.986111111,37.15277778,0.732316326,0.900883314,0.84375,0.711805556,15.625,28.81944444,0.767579708,0.979723008,0.888888889,0.59375,11.11111111,40.625
8,0.68088455,0.947507842,0.78125,0.618055556,21.875,38.19444444,0.983331866,2.26641894,0.5625,0.302083333,43.75,69.79166667,0.593476193,0.759718783,0.899305556,0.739583333,10.06944444,26.04166667,1.017380597,1.799189759,0.482638889,0.340277778,51.73611111,65.97222222,1.07613162,1.634452121,0.559027778,0.319444444,44.09722222,68.05555556,0.945104836,1.616240939,0.579861111,0.40625,42.01388889,59.375,0.484226941,2.865780794,0.611111111,0.256944444,38.88888889,74.30555556,0.652392667,0.926137688,0.913194444,0.725694444,8.680555556,27.43055556,0.712651151,0.947701286,0.885416667,0.652777778,11.45833333,34.72222222
9,0.649684687,0.891533126,0.784722222,0.611111111,21.52777778,38.88888889,0.936400741,1.984821591,0.552083333,0.315972222,44.79166667,68.40277778,0.586427841,0.756415731,0.871527778,0.788194444,12.84722222,21.18055556,0.936255695,1.802011845,0.760416667,0.395833333,23.95833333,60.41666667,1.026854775,1.446292338,0.78125,0.378472222,21.875,62.15277778,0.900039736,1.352264972,0.854166667,0.482638889,14.58333333,51.73611111,0.436333962,0.85355691,0.944444444,0.684027778,5.555555556,31.59722222,0.645777869,0.839935481,0.927083333,0.746527778,7.291666667,25.34722222,0.697676057,0.936425922,0.833333333,0.663194444,16.66666667,33.68055556
10,0.592297187,0.738751948,0.90625,0.708333333,9.375,29.16666667,0.924652118,1.615341312,0.8125,0.364583333,18.75,63.54166667,0.548177155,0.66123294,0.909722222,0.8125,9.027777778,18.75,0.908577759,1.209340094,0.861111111,0.513888889,13.88888889,48.61111111,0.946935655,1.555746622,0.680555556,0.364583333,31.94444444,63.54166667,0.845067559,1.633859135,0.65625,0.416666667,34.375,58.33333333,0.358377833,1.278867066,0.694444444,0.527777778,30.55555556,47.22222222,0.571309995,0.879149772,0.930555556,0.756944444,6.944444444,24.30555556,0.654123468,1.279325174,0.833333333,0.579861111,16.66666667,42.01388889
11,0.600669235,1.363699318,0.65625,0.541666667,34.375,45.83333333,0.852381927,1.990052976,0.777777778,0.385416667,22.22222222,61.45833333,0.482755213,0.565046136,0.96875,0.864583333,3.125,13.54166667,0.890920971,1.263775145,0.798611111,0.527777778,20.13888889,47.22222222,0.844791743,2.017339941,0.430555556,0.322916667,56.94444444,67.70833333,0.81629833,1.479657878,0.833333333,0.461805556,16.66666667,53.81944444,0.352382092,0.945058872,0.982638889,0.690972222,1.736111111,30.90277778,0.531946666,1.48997243,0.736111111,0.527777778,26.38888889,47.22222222,0.603718925,1.927147204,0.753472222,0.420138889,24.65277778,57.98611111
12,0.543671504,0.655986717,0.940972222,0.756944444,5.902777778,24.30555556,0.858145976,2.064132084,0.854166667,0.333333333,14.58333333,66.66666667,0.527877688,0.819978852,0.84375,0.71875,15.625,28.125,0.864223611,1.505515082,0.805555556,0.447916667,19.44444444,55.20833333,0.865225097,1.55093309,0.71875,0.350694444,28.125,64.93055556,0.753293773,1.559784195,0.708333333,0.46875,29.16666667,53.125,0.329550985,1.620293144,0.902777778,0.479166667,9.722222222,52.08333333,0.558369515,1.078358637,0.850694444,0.649305556,14.93055556,35.06944444,0.57515876,1.264069618,0.930555556,0.590277778,6.944444444,40.97222222
13,0.550111393,0.678594808,0.90625,0.777777778,9.375,22.22222222,0.814814327,1.560149541,0.854166667,0.388888889,14.58333333,61.11111111,0.524126565,0.662438407,0.934027778,0.802083333,6.597222222,19.79166667,0.792138314,1.194866732,0.840277778,0.545138889,15.97222222,45.48611111,0.800369586,1.252151398,0.854166667,0.458333333,14.58333333,54.16666667,0.74819584,1.528641981,0.78125,0.427083333,21.875,57.29166667,0.327764642,0.85971445,0.965277778,0.6875,3.472222222,31.25,0.520733331,0.876707171,0.934027778,0.732638889,6.597222222,26.73611111,0.572165253,0.85406433,0.916666667,0.722222222,8.333333333,27.77777778
14,0.493403892,0.71412461,0.934027778,0.729166667,6.597222222,27.08333333,0.778299146,1.749061327,0.836805556,0.440972222,16.31944444,55.90277778,0.457659453,0.655329083,0.9375,0.822916667,6.25,17.70833333,0.777784088,1.333096498,0.826388889,0.482638889,17.36111111,51.73611111,0.706732699,1.734202368,0.913194444,0.315972222,8.680555556,68.40277778,0.696089211,1.547323956,0.84375,0.4375,15.625,56.25,0.305293031,0.729006208,0.982638889,0.763888889,1.736111111,23.61111111,0.478040497,0.928327296,0.944444444,0.715277778,5.555555556,28.47222222,0.523986796,1.036241298,0.96875,0.638888889,3.125,36.11111111
15,0.404106921,0.852325738,0.899305556,0.701388889,10.06944444,29.86111111,0.760945588,2.217875203,0.8125,0.34375,18.75,65.625,0.444435438,0.478735054,0.982638889,0.895833333,1.736111111,10.41666667,0.71237616,1.660017107,0.854166667,0.423611111,14.58333333,57.63888889,0.771498101,1.875891368,0.802083333,0.298611111,19.79166667,70.13888889,0.66349011,1.482603257,0.861111111,0.513888889,13.88888889,48.61111111,0.277998535,0.932049138,0.989583333,0.680555556,1.041666667,31.94444444,0.499601826,0.880398062,0.9375,0.767361111,6.25,23.26388889,0.478967261,0.86317047,0.951388889,0.729166667,4.861111111,27.08333333
16,0.459924887,0.712241599,0.944444444,0.743055556,5.555555556,25.69444444,0.703770602,4.070658361,0.71875,0.309027778,28.125,69.09722222,0.431916551,0.478939035,0.982638889,0.895833333,1.736111111,10.41666667,0.711979314,1.305155445,0.90625,0.520833333,9.375,47.91666667,0.677706007,2.885693988,0.597222222,0.260416667,40.27777778,73.95833333,0.638992922,1.45682972,0.888888889,0.506944444,11.11111111,49.30555556,0.239343324,0.830056272,0.989583333,0.704861111,1.041666667,29.51388889,0.480775244,0.910445763,0.961805556,0.75,3.819444444,25,0.484773614,1.126407781,0.961805556,0.673611111,3.819444444,32.63888889
