,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy,val_loss,test_loss,val_accuracy,test_accuracy
0,1.370307211,1.373075114,29.31034483,29.16666667,1.347085583,1.37403406,37.93103448,28.64583333,1.351953445,1.341057155,31.89655172,40.10416667,1.333879907,1.353528341,39.00862069,31.59722222,1.354239147,1.384180665,35.77586207,28.99305556,1.375087467,1.373181952,25.43103448,27.77777778,1.356476081,1.348522849,35.12931034,35.41666667,1.343674606,1.35811464,39.00862069,34.72222222,1.368946051,1.351036827,33.40517241,36.45833333
1,1.358642697,1.351178249,31.68103448,32.8125,1.286051273,1.35846636,41.81034483,32.8125,1.307481096,1.293705,42.88793103,43.92361111,1.268678669,1.320046637,42.88793103,36.11111111,1.308563705,1.402465794,41.1637931,25.34722222,1.337282284,1.343972974,41.37931034,36.63194444,1.301632585,1.314599673,42.02586207,38.71527778,1.277181132,1.30837308,44.39655172,34.89583333,1.331549472,1.292628672,38.14655172,41.84027778
2,1.326028433,1.315252185,35.99137931,36.80555556,1.249955432,1.354328778,47.62931034,34.375,1.267934964,1.251690971,46.98275862,50.69444444,1.215477857,1.303976907,48.27586207,39.40972222,1.244855926,1.420706537,45.47413793,26.73611111,1.288922458,1.32458761,41.59482759,36.97916667,1.250011983,1.288728648,48.49137931,38.19444444,1.240129343,1.264808244,44.82758621,42.88194444,1.294777097,1.257332153,40.30172414,48.26388889
3,1.300839987,1.272292919,40.73275862,42.53472222,1.205844842,1.338062776,50.64655172,34.02777778,1.245215416,1.20723074,46.55172414,53.125,1.196954505,1.295226269,46.98275862,40.45138889,1.223892459,1.397770484,45.90517241,28.64583333,1.240323046,1.312697212,44.39655172,37.5,1.185650049,1.243425369,51.50862069,43.92361111,1.183369982,1.215234982,51.93965517,45.65972222,1.25848177,1.222425924,42.67241379,46.35416667
4,1.273706251,1.23112411,42.24137931,44.27083333,1.188305255,1.320819365,51.07758621,35.9375,1.197768544,1.172247277,51.07758621,53.99305556,1.157431923,1.298511121,53.23275862,38.02083333,1.187967457,1.433515668,50.21551724,29.34027778,1.202712635,1.287151919,47.84482759,41.66666667,1.16418642,1.229756925,54.09482759,45.83333333,1.155926528,1.191171434,51.29310345,48.61111111,1.230479064,1.175148937,46.98275862,50.17361111
5,1.22830832,1.208519154,46.98275862,48.78472222,1.159386709,1.334343394,54.52586207,33.68055556,1.166936529,1.151184095,51.72413793,53.125,1.128912346,1.256203916,56.68103448,41.66666667,1.155138414,1.399695913,53.01724138,32.11805556,1.173426114,1.281160739,51.50862069,41.14583333,1.122682596,1.202094621,56.25,47.74305556,1.128356683,1.176063657,52.80172414,52.08333333,1.185735263,1.147785756,52.15517241,54.6875
6,1.188854518,1.167092469,52.15517241,53.47222222,1.104302147,1.310679939,58.40517241,35.59027778,1.138260858,1.115524173,53.44827586,54.6875,1.097852701,1.289256016,57.11206897,36.97916667,1.107332102,1.417932471,55.81896552,32.29166667,1.157078069,1.245750719,53.6637931,43.57638889,1.099119575,1.167016798,55.81896552,50.86805556,1.071411988,1.137140354,60.99137931,52.95138889,1.172840234,1.138132162,50.21551724,51.73611111
7,1.159690117,1.157046742,54.52586207,53.125,1.079722737,1.310067985,59.69827586,37.84722222,1.113844164,1.10199119,56.03448276,57.63888889,1.067415079,1.261367904,58.8362069,41.31944444,1.064482134,1.39590564,59.9137931,32.29166667,1.127194931,1.253402458,55.17241379,43.05555556,1.060592123,1.136156042,60.99137931,52.25694444,1.055653445,1.087612629,57.32758621,55.38194444,1.144648281,1.140780224,52.15517241,51.5625
8,1.128136359,1.125754449,53.87931034,55.20833333,1.049299951,1.302417345,62.06896552,37.67361111,1.092485849,1.083045403,55.81896552,60.9375,1.04056882,1.271681574,60.99137931,40.625,1.03529419,1.455959386,60.34482759,31.25,1.093771162,1.214351919,59.26724138,47.74305556,1.042863057,1.115384791,61.20689655,49.13194444,1.034921527,1.061686132,61.42241379,57.46527778,1.131742128,1.116279211,53.01724138,54.51388889
9,1.112675511,1.134518954,56.89655172,53.47222222,1.005016183,1.284544653,67.45689655,39.58333333,1.075848849,1.078121702,57.75862069,56.94444444,1.038061128,1.246703214,60.12931034,42.70833333,1.013539849,1.481886162,62.06896552,29.6875,1.052408399,1.217254599,58.62068966,45.3125,1.013169141,1.096411387,61.42241379,51.90972222,1.009837303,1.040464573,62.06896552,56.77083333,1.104277422,1.12250342,56.46551724,53.47222222
