,val_loss,test_loss,val_accuracy,test_accuracy
48,0.8341812409203628,0.7946926355361938,"tensor(68.1034, device='cuda:1')","tensor(68.2292, device='cuda:1')"
49,0.83582092975748,0.7938721974690756,"tensor(68.7500, device='cuda:1')","tensor(67.8819, device='cuda:1')"
50,0.8531162163306927,0.8031862311893039,"tensor(69.3966, device='cuda:1')","tensor(66.3194, device='cuda:1')"
51,0.8496986298725523,0.8179942501915826,"tensor(68.3190, device='cuda:1')","tensor(68.0556, device='cuda:1')"
52,0.8365102184229883,0.8052051994535658,"tensor(67.8879, device='cuda:1')","tensor(67.7083, device='cuda:1')"
53,0.835680735522303,0.8038054903348287,"tensor(68.1034, device='cuda:1')","tensor(68.7500, device='cuda:1')"
54,0.8600097483602064,0.8256745934486389,"tensor(65.0862, device='cuda:1')","tensor(67.8819, device='cuda:1')"
55,0.8306982804988993,0.8021706740061442,"tensor(67.0259, device='cuda:1')","tensor(68.0556, device='cuda:1')"
56,0.8400391895195534,0.8218525581889682,"tensor(67.4569, device='cuda:1')","tensor(67.3611, device='cuda:1')"
57,0.8316965308682672,0.7919621335135566,"tensor(68.5345, device='cuda:1')","tensor(69.9653, device='cuda:1')"
58,0.8230582229022322,0.7930191026793586,"tensor(68.1034, device='cuda:1')","tensor(68.9236, device='cuda:1')"
59,0.8321754726870306,0.765203058719635,"tensor(68.5345, device='cuda:1')","tensor(70.1389, device='cuda:1')"
60,0.8347750778855949,0.7665789127349854,"tensor(68.5345, device='cuda:1')","tensor(69.7917, device='cuda:1')"
61,0.8173813676011974,0.79013548956977,"tensor(70.0431, device='cuda:1')","tensor(69.7917, device='cuda:1')"
62,0.8520485902654713,0.7936201294263204,"tensor(66.5948, device='cuda:1')","tensor(68.7500, device='cuda:1')"
63,0.8207346570902857,0.7745658291710747,"tensor(70.2586, device='cuda:1')","tensor(70.8333, device='cuda:1')"
64,0.8243852894881676,0.8121391203668382,"tensor(71.3362, device='cuda:1')","tensor(69.2708, device='cuda:1')"
65,0.8190213359635452,0.7942108975516425,"tensor(68.1034, device='cuda:1')","tensor(69.6181, device='cuda:1')"
66,0.8138497266276129,0.8003380232387118,"tensor(72.1983, device='cuda:1')","tensor(69.6181, device='cuda:1')"
67,0.8226514684742895,0.7782066265741984,"tensor(69.3966, device='cuda:1')","tensor(70.8333, device='cuda:1')"
68,0.8122661504252203,0.7920768525865343,"tensor(68.9655, device='cuda:1')","tensor(69.2708, device='cuda:1')"
69,0.8184861335261114,0.7859776020050049,"tensor(68.7500, device='cuda:1')","tensor(69.7917, device='cuda:1')"
70,0.8196590871646486,0.788247095213996,"tensor(70.0431, device='cuda:1')","tensor(69.9653, device='cuda:1')"
71,0.8214147481425055,0.7872652014096578,"tensor(69.1810, device='cuda:1')","tensor(69.6181, device='cuda:1')"
72,0.8481267115165447,0.8109602000978258,"tensor(67.6724, device='cuda:1')","tensor(68.0556, device='cuda:1')"
73,0.8127720849267368,0.7930124666955736,"tensor(69.8276, device='cuda:1')","tensor(68.2292, device='cuda:1')"
74,0.8227413152826244,0.7901513510280185,"tensor(70.0431, device='cuda:1')","tensor(69.2708, device='cuda:1')"
75,0.802624104351833,0.7695880598492093,"tensor(71.5517, device='cuda:1')","tensor(71.0069, device='cuda:1')"
76,0.7980559735462583,0.7711880207061768,"tensor(73.0603, device='cuda:1')","tensor(70.4861, device='cuda:1')"
